,Sentence,test
12221,악플러들 더위쳐먹고 열폭하네 그래 댓글수 올려줘^^^^^^^^,싫음
12222,이제야... 코끼는 동물원 외에는 없다...,싫음
12223,재산몰수하고 국적 박탈해야된다,싫음
12224,개때문에 몇백명이 죽을수도있는데 죽이는게 맞지,싫음
12225,기레기야 저게 어딜봐서 리콜이지? ㅋ,싫음
12226,정부가 국민연금 돈 떼먹으려고 별 쌩쇼를 다 하네...,싫음
12227,미.친 해결책도 아니고 다 아는 사실을 기사거리라고 쓰고 있는건 뭔 황당한 짓인지,싫음
12228,이대은 오지환 깨작거린거로 못가면 석현준은 징역가야되냐,싫음
12229,"자체적으로는 절대 안풀거를 오버워치,포켓몬고 이런거 나오니깐 그제서야 아차싶어가지고ㅋㅋㅋㅋㅋㅋ",싫음
12230,뻔뻔한 정권아래 뻔뻔한 장관들....,싫음
12231,뭐냐 짜고 치는거냐? 왜 이제야..,싫음
12232,무기때리니 사법부가 썩었다는소리듣는겨 사형이 정상이다,싫음
12233,위증죄 적용해서 처벌해라..,싫음
12234,관심1도 없는 이런 씌래기 기사좀 올리지마라 눈살 찌뿌려진다 정말 기자야,싫음
12235,이제부터 검찰을 똥찰이라고 부르겠다,싫음
12236,바그네출동해야지 삥뜯으러,싫음
12237,난 팩트폭행이 제일 실터라,싫음
12238,태극기 아무데나 갖다 쓰지 마라,싫음
12239,순실네하고 조용히 살지 대통령은 왜 돼서 국민 괴롭히니 나쁜x,싫음
12240,좌좀 공화국 인가?,싫음
12241,빨리 근혜는 하야하라 대한민국을 되찾자,싫음
12242,기상청데리고 청문회 한번 안합니까?,싫음
12243,피 똥을 싸봐야 정신 차리지,싫음
12244,남의 나라 생선 몇마리 약탈허고 천벌을 받은겨,싫음
12245,순실이나 헬지나 둘다 쓰레기....,싫음
12246,누진세는 왜만들었을까?.,싫음
12247,야... 정말 이런 인간들도 있구나,싫음
12248,돈으로도 해결이 안되는구나. 있을때 지켜야지,싫음
12249,시원하게 자백하고 박그내하고 최순실 모두 쳐넣읍시다,싫음
12250,그려면서 저것도 창조경제라고 일관하겠지,싫음
12251,일제시대 너희나라로 꺼졍,싫음
12252,안사고싶다!~~ 매일 트럼프얼굴을 어찌보노!~~~ ㅎ,싫음
12253,종북좌파년놈들천벌 받을것이다,싫음
12254,회전차로에서 양보한다고 멈추지좀 마라,싫음
12255,우리나라는 대선개입해도 재벌들부터 숨기고 도와줌..,싫음
12256,와 사람 죽여 놓고 지 살 궁리만하네,싫음
12257,내일 화염병 준비하고 있어야 겠다..,싫음
12258,예산을 언놈 사리사욕 채우는데 썼겠지~,싫음
12259,오이도역만하겠냐? ㅋㅋㅋㅋㅋ,싫음
12260,한트럭이 와봐라 니죄가 없어지나 써글년아,싫음
12261,특기자전형 준비하던 애들은 어쩌라고,싫음
12262,대체그많은돈으로 뭘하는걸까,싫음
12263,아직도 총을 안들고 뭐한댜?,싫음
12264,영국도 북한 처럼 전세계 에서 왕따 시켜라!,싫음
12265,서울구치소 윗대가리들 순실이 소속종교아니여?,싫음
12266,진짜개빡친다 처음프로야구팬했는데,싫음
12267,아 뭐래 접종 바로 시켰는데 독감걸림 장난하나?????,싫음
12268,박근혜도 물러나고 여야국회쓰레기들도 이기회에 해산시켜라!,싫음
12269,어휴. 위나 아래나 가지가지 한다,싫음
12270,박꾸네 기생충들,싫음
12271,외교하라니까 친미 친일 하고있는 윤병x이 문제라곤 생각 안하지?,싫음
12272,자기 종교에 미.쳐서 남한테 강요하는 종교들은 다 쓰레기라고 본다,싫음
12273,인간들아 그 죄를 우짤려고 그렇게 잔인하나 대대손손 그죄 치뤄라,싫음
12274,쓰레기 우리 정치인들도 저런 징역을 받을 날이 반드시 왔으면 좋겠다.,싫음
12275,심판한테 얼마를 준거야...,싫음
12276,쪽발이들이 어떻게 나오든 콧방귀도 뀌지마라,싫음
12277,탄핵 거부되면 국민이 그때도 촛불로 항의할까요?,싫음
12278,진짜 국민 쌰앙 뇨언.,싫음
12279,참내. 차포 다 없애고 지네팀 안전빵으로 3위 올려놨으면 절을 해도 모자랄판에 한판졌다고 엄청까네.,싫음
12280,늦게 왔다고 때렸고만 관련자 구속하고 해당 지휘관 직위해제해라,싫음
12281,저놈 지금 지옥에서 팔딱팔딱 영원히,싫음
12282,내묭이 참 학생 하나두고 여선생 둘이 모하자는 내용인지,싫음
12283,지현아 대상도 안주고 열받는데 그냥 촬영하지마,싫음
12284,새누리는 김무성란인빼고 전부내려오고 민주당은 추미애 당장 짤라라,싫음
12285,외노자 그만받아라!,싫음
12286,지금 시국을 틈타서 졸속 처리한건가ㅡㅡ 무죄라니...,싫음
12287,저런팬들한테 킬이 할수있는 최고의 예의는 자진사퇴,싫음
12288,그냥 발포해라.,싫음
12289,김 기 춘 역사에 기리 기리 악마로 기억되리라대대 손손!,싫음
12290,구라만 치지마라,싫음
12291,냄비들 손기복이라고 까던놈들 다사라졌ㅇ니,싫음
12292,누구 똥...꾸녕으로 들어간거냐고,싫음
12293,정부는 핵대중이 똥싸놓은 여성가좃부를 해체하라.,싫음
12294,일요일날 마트 못가는 것도 야당에서 만든거고,싫음
12295,촛불이 대한민국 망친다.,싫음
12296,진짜 박근혜 없었으면 저 빨갱이들 이번 겨울 어떴게 보냈을까,싫음
12297,"종편 만들때 그렇게 JL을 하더니, 이제는 손 본단다...",싫음
12298,"재목이 잘못되엇구만,,,,,더러운 닭과 개돼지뇬이라 했다면 좋았을걸..",싫음
12299,새누리당각성해라 국민들이보고있다,싫음
12300,박근혜 OOO진짜 뭐하고있냐? 쳐자냐?,싫음
12301,그걸 왜 감싸고 있냐 이 메춴년아,싫음
12302,어이구..촛좀들아....엄연한 법 놔두고 데모로 뭐든지 바꾸겠다는 부끄러운 역사를 만드는거지...,싫음
12303,사형선고내리고 꺼져라,싫음
12304,이드라마를 온우주가 도와주는것도아니고!,싫음
12305,이것도 국가냐... 여기사는 모든 사람이 묻는다,싫음
12306,뭔놈의 온도도 맨날 틀려요!!!....썅!!!...,싫음
12307,더이상 대통령도 뭣도 아닌 중범죄자 바끄네를 즉각 체포하라.,싫음
12308,군대도 안갔다 온 놈이 안보팔이 작작 좀 쳐해라,싫음
12309,돈이없는게 아니라 도둑놈들이 많다= 허본좌,싫음
12310,와 무뇌중 이 양심없는 ㅅㄲ,싫음
12311,제발 한다고 까발려 놓은 일이라도 제대로 해라 맨날 뒷북치지말고,싫음
12312,야이십알 조빠근 새끼야경찰이냐 너네가,싫음
12313,에헤라디야 나라꼴 잘돌아간다,싫음
12314,쪽팔린다 증말,싫음
12315,이 사건은 과정과 결과가 너무 화나고 분노스럽다.그것이 알고싶다에서 파헤쳐야한다.,싫음
12316,동물을 저렇게 잔인하게 죽일 수 있으면 사람도 죽일 수 있다고 본다,싫음
12317,박근혜 탄핵부터 하자,싫음
12318,그렇다고 내게 돈이 오나 사회에 더 환원을 하나 아니면 일자릴 더 창출하나...,싫음
12319,아...개 18 욕만 쳐나와!!!!,싫음
12320,필요없고 누진세 폐지해,싫음
12321,"말했지, 제발로 걸어서 나올건지, 아니면 복날 개처럼 끌려나올건지 잘 생각하라고.",싫음
12322,아니 진짜 1%라도 맞는걸 우긴다면 좀 들어나 주겟는데. 이건 도대체가 왜 지들꺼라 하는지 모르겟네.. 쪽바리 ㅅㄲ들,싫음
12323,누가 망하나 보자,싫음
12324,제주 짱깨땅 회수하라,싫음
12325,누진세 폐지해 시방들아,싫음
12326,정말 세상은 넓고 또라이도 많고. 지가지가한다 진짜.,싫음
12327,이 T발놈을 확 그냥..!!!,싫음
12328,머리 쥐어뜯기기전에 당장 거기서 내려와라ㅡㅡ,싫음
12329,교육감이 교육을 엉망으로 만들었다,싫음
12330,박사모 비상식 노예 사회 암적 존재들...,싫음
12331,진품은 어느 놈이 빼돌린거냐?,싫음
12332,미친개들만 댓글달았네 또라이새끼들 탄핵반대가 진정한 민심이다,싫음
12333,엘지폰쓰곺다 ㅋ 심성 불매한다 ㅋ,싫음
12334,작당하고나온것봐봐 후랴드년,싫음
12335,어차피 기대도 안했다 어쩜 이리 국민들 예측을 한치도 벗어나지 않다니.,싫음
12336,응원합니다. 법의 무서움을 박근혜에게 보여주세요,싫음
12337,참 누가 스폰인지 돈도 많네 이왕 줄거면 20씩 줘라...,싫음
12338,재벌총수불성실이 아니라 삥뜯은 놈들이 삥뜯긴 놈한테 화풀이하는게 기가 차더라,싫음
12339,하야고 지롤이고 사형감이네,싫음
12340,참! 무능한 대통령이었네! 내 손으로 투표했으니 내 손으로 끌어내려야 하는데!,싫음
12341,화형대에 올라도 난 무죄라고 할년이다,싫음
12342,이ㅅㄲ도 끌어내려야지,싫음
12343,"한국에서 지적수준이 가장 낮은 계층들이니 이해는 한다만, 너희 한테는 보편성 조차도 없냐?",싫음
12344,정말보기싫다문재인,싫음
12345,구체적 물증이 없으니 강제소환 못 하는 것이아니라 돈으로 산 변호인 덕분이겠지만.. 두고보자,싫음
12346,저것들을 그냥,싫음
12347,댓글알바들 10원주면 부모도 직일놈들 ㅉㅉ,싫음
12348,진짜 개 쓰레기같은 생각하내.. 당연 반품해야지 그지 새끼냐?,싫음
12349,배신의 대가는 톡톡히 치뤄야지?,싫음
12350,뻥치지마쇼 자출하면서 식단조절도햇겟지 누굴또라인줄아나,싫음
12351,날 마사지사로 불렀으면 마사지 핑계로 얼굴 죽창 패고놨다,싫음
12352,아젠 놀랍지도 않다 ! 추하다 !,싫음
12353,사소한 것도 놓치지 않고 해 먹었네..,싫음
12354,전부 사형시켰으면 좋겠다,싫음
12355,박근혜 국정관여 미미 아닌가?,싫음
12356,순실이가 상전이네. 상전.,싫음
12357,제발 이런 약쟁이는 뺍시다.,싫음
12358,그니까~~그 적당하다던 온.습도를 유지하고픈데 누진세때매 못한다고!!!,싫음
12359,빨리 정권 바꿔서 단죄합시다..,싫음
12360,탄핵이다 탄핵 새누리아웃,싫음
12361,삼성 불매합시다~,싫음
12362,"하나님 믿어도, 순시리랑 박그네 졸라게 빨아대는 목사가 역겨워서 교회 안가고 싶다.",싫음
12363,미드 발톱에 때만큼도 못따라가는 개 쓰레기 드라마..........,싫음
12364,예전 유신시대에는 경찰이 벗으라면 다 벗엇다 감히 공권력에 개기다니,싫음
12365,적어도 PC 때문에 사고의 원인을 다른곳으로 돌리는 멍청한 짓은 안하겠지.,싫음
12366,대체 이런 건 왜 법으로 금지를 안 하는 걸까,싫음
12367,이정도며환경부장관 바꿔야하고 대통령탄핵수준이지,싫음
12368,국민을 상대로 귀머거리 장님 벙어리로 5년을 채우는 기가막힌 정권,싫음
12369,오늘 더위 꺽인다며ㅡㅡ,싫음
12370,박근혜 궁댕이나 때려라,싫음
12371,시불ㅇ아 그만하고 내려온나,싫음
12372,입만 열면 개구라....떳떳하면 검찰 조사 왜 안받냐?,싫음
12373,에효 빨리결정하자 기다리는팬들 야마돌아간다,싫음
12374,1만5천기 화력발전소나 줄여라~~~미세먼지 니들이나 처드셔~~,싫음
12375,네 부모를 원망해.,싫음
12376,인사 잘해서 평가 후하게 줬다고 개소리 한 담임 꼭 옷 벗겨라!!,싫음
12377,와 ㄹㅇ 미친 도라이년이네,싫음
12378,sns에 광복절날 일본 관광사진 올리는것들아정신차려.. 815가 무슨날인지알고 일본 사진쳐올리냐,싫음
12379,진짜 얼마나 국민들을 좆 병신으로 보는거냐,싫음
12380,나라 말아먹은 미친 순실이년과 어린 저 딸 년이 미쳐서 가지가지한다!!!,싫음
12381,한방더 놓으려 가는거죠?,싫음
12382,사악한 똥센징들 곧 7.0 지진온다,싫음
12383,이우민 강영식 정대현 손용석 박종윤 너거들도 왠만하면 은퇴해라,싫음
12384,최순실 일가가 만들어놓은 각종 쓰레기같은 법안들 다 폐지해라,싫음
12385,긍게 언제쯤 온다고?! 왜 말이 없나?!,싫음
12386,선생들의 차별은 세계 1위지^^,싫음
12387,대출해서 연금내는 잣같은 나라,싫음
12388,힘내라 새키들아!!!,싫음
12389,유라 상련은머하냐 처들어와서 몽둥이찜질받아야지 쥐새끼같은련,싫음
12390,그놈의돈이문제일수도 있다 청부살인,싫음
12391,예술가라면 예술가집단인데 자랑처럼 정치에 관심이 없다니 한마디로 장사치 인증이냐?,싫음
12392,한심하다 !!!!!!!!!!,싫음
12393,대통령이 죄를 인정안하니 그 밑에 것들도 난리구나,싫음
12394,"역대 최고로 무능한 정권, 다 감옥에 쳐넣고싶다",싫음
12395,진짜 해도해도너무한다,싫음
12396,쓰레기언론사인 조선 중앙 동아 한겨레 SBS YTN 이 먼저 퇴진하면 안되겠니?,싫음
12397,혹시나 헌법재판관을 살해할지도 모른다는 생각이 스치네요. 여섯이면,싫음
12398,끝까지 개 소 리,싫음
12399,매우 졸열한 왜놈들입니다,싫음
12400,당장 내쫓아야 합니다!!,싫음
12401,저런것들은 고문이란걸 해야함,싫음
12402,뭐야~ 일본쓰레기들이 정권 쥐고있는거야~,싫음
12403,법 만드는 사람이 바빠서 그런법 못만들어요...,싫음
12404,내년 정권 바뀌면 저년 두명은 반드시 처벌해라.,싫음
12405,안에 있는 친일매국노들도 못잡으면서 밖에 있는 빨갱이를 어찌 잡겠는가??,싫음
12406,박근혜는 역사에 비아그라 업무시간중 집에서 TV보기 성형시술 마취 해외여행으로 기록될것다,싫음
12407,얼큰이 주제에 대가리에 든게 없어서 욱일기를 쳐 사용하냐.,싫음
12408,돌팔이세끼,싫음
12409,정말 니들은 국민을 우롱하는구나,싫음
12410,촛불집회 그돈이 어디서 흘러 오는지 조사해라.,싫음
12411,이상한놈ㅋㅋ나쁜놈꼭잡아야,싫음
12412,박사모는 해체하라 박사모는 장님 귀머거리만모였나,싫음
12413,우리나라의 주적은 김정은 우리의 도적은 이명박근혜,싫음
12414,죽여벌라 ㅡㅡ 아 호 .........애기보는데 씨 ㅡㅡ,싫음
12415,병언지늘 장난하냐 나라세금가지고 벌찟좀하지마라,싫음
12416,국민과 소통하지않고 인터넷티비랑 소통하네....제정신인가..,싫음
12417,.개차반 이 놈아,싫음
12418,저 껍대기를 아시모 같은 로봇에 입혀 대량 복제 생산 체재 갖추면 오타구들 노리개감 돼겠군....ㅋㅋ,싫음
12419,또시작이냐?,싫음
12420,기상청 바퀴벌레들 머리에 물만찼나..짜증날정도로 못맞춤 ㅗ,싫음
12421,하여간 이 짱깨쉐리들은 도움이 안된다니까,싫음
12422,동해바다 날다가 불났으면 신발새키들. 으~~씨,싫음
12423,사지마라 안사면되지,싫음
12424,"권력과 사익의 독점,,,,농단 그 자체네",싫음
12425,우리나라는 범죄자들의 천국이구나..,싫음
12426,짱개 종특 10자,싫음
12427,우리는 개돼지가 아니고 뱍근혜를 잡을 잔다르크 입니다,싫음
12428,"믿음은 개나 줘버리고, 계약서 써라.",싫음
12429,이런 ㅡㅡ^ 한숨밖에 안나온다,싫음
12430,광화문 또 가게 만드시네.,싫음
12431,"닥자만 들어도 고구마처럼 질린다""집어쳐라~xx",싫음
12432,슈틀리케 OOO 개7ㅐㄲ1야 제발좀 물러나라 개 저빠압 감독,싫음
12433,근데 저색기들 광우뻥때도 촛불들고 설쳤지??????,싫음
12434,이 사람 아직도 안짤렸네,싫음
12435,역대 최대 사실 기레기 나가보지도 않고 쓰셨나..,싫음
12436,빙딱들아 됀히 해경 어린애들 골병들게 하지 말고,싫음
12437,누차 얘기 하지만 쓰래기랑 비교하지 마세요 비교대는 쓰레기 열폭합니다..,싫음
12438,진짜 이건 국가적으로 정식 항의를 해야할듯,싫음
12439,돈에 영혼팔아 먹은 알바들 니새끼가 그댓가ㅈ고대로 받는다,싫음
12440,단통법은 사라져야하고 초딩들은 댓글못쓰게 해야한다,싫음
12441,당연한게 속보냐?,싫음
12442,상식이 맞지 아너음 고발 조치해라,싫음
12443,엽기적인 악마다 머리털 다 뽑고 수장시켜야 한다,싫음
12444,이돈은꼭줘라....아니면신상털이한다.......,싫음
12445,공안검사 했으면 벌써 말 다했지 찢어죽일놈,싫음
12446,비가와서 그런가 뵨태들이 득실거리네ㅋㅋㅋㅋ,싫음
12447,나라가 시끄러운 틈을 타 너도나도 이익 취하려는 집단 뿐이네,싫음
12448,이런상황에서도 박근혜빠는 박사모들은 사람이아니다,싫음
12449,그네같은짓 하네ㅋㅋ,싫음
12450,조리장들이 해주는 고급요리에 따뜻하고 넓디넓은곳에 있으니 저런소리하지!,싫음
12451,박그네의 사람들은 정말 못 말리는 인간 쓰레기들이구나.,싫음
12452,최순실호가 염병으로 지어졌네~~~,싫음
12453,미친0들 할줄 아는게 뭐고,싫음
12454,쇼하지마라보기역겹다,싫음
12455,걸어가면서 좀 피지말자!,싫음
12456,청와대로 떨어져라,싫음
12457,검정고시는 수능보다 비교적 쉬우니까 열심히 해라 유라야.,싫음
12458,잡아서 똑같이 해줘라!,싫음
12459,왜 고딩들도 아는 방산비리를 국가는 모른척할까?????도대체 왜????,싫음
12460,영해침범하면 겁먹지말고 갈겨버려.,싫음
12461,가지마 안가면 되잖아 아쉬운 넘들이 누구겠어?!,싫음
12462,대구 비오고 있다 이 구라청 개 호 루 쉬키들아 주둥아리를 아작 내고 싶다 개상청 개 호 루 쉬키들아 면상을 후려갈기고 싶다 진짜 개구라청 개 호 루 쉬키들아 쪽팔리지도 않냐 개상청 세금충들아 제발 잘모르겠다 케라 주둥이 아작내기전에,싫음
12463,안전거리 확보해가면 가는데 왜 거길 끼어드는거야,싫음
12464,밥줘영이랑 손잡고 홍눈깔이한테 가라 거품 3종세트들,싫음
12465,삼성반도체로 암에걸리거나 죽은사람을 위해 300억써봐라 더런넘의회사,싫음
12466,순실아. 지옥가자. . .,싫음
12467,피해 안보게 리콜해준데도 ㅈ라랄들이야,싫음
12468,박근혜 하고 최순실 그 일당들좀 죽여줘라,싫음
12469,욱일기는 무슨 전범기지..,싫음
12470,이젠 대통령이란말 붙이지말자.,싫음
12471,미친 이슬람 극단주의자들이 잔인하게 테러하고 못된짓 할때는 가만히 있더니 트럼프가 그런인간들 걸러낸다고 하니 피켓드는 정신병자들,싫음
12472,네이버 메인에 둘이 나란히 있는거 보니까 기분 더럽다 연초부터,싫음
12473,일본하고 멀협정한거냐 미친정부,싫음
12474,수시줄줄이떨어진 패배자가 무슨국정을논하냐,싫음
12475,급하다고 약쟁이를 써요?,싫음
12476,알권리랍시고 숙소앞에서 잠복하는게 기자냐,싫음
12477,헌재는 반헌법 반국가 반민족 살인마 탄핵 인용하라!,싫음
12478,보수라고 하지도 말아라!!!!!!,싫음
12479,흉기차 였더면 사용자 과실로 핸드폰이 급발진했다고 우겼을 꺼임.,싫음
12480,술판에화투치고 ㅁㅊ 한국관광객,싫음
12481,국정교과서 개나갔다줘,싫음
12482,열일하는 순실이 대단해,싫음
12483,삼족을 멸해야하는 죄를 지었다면 그러는것도....,싫음
12484,핵 확산 금지라면서 슬금슬금 올릴라카나,싫음
12485,우리나라 기사보면 애플은 매번 혁신이 없고 폰 낼 때마다 위기상황이라더니 ㅋㅋㅋ,싫음
12486,높은분들은 디젤 안타서 그래요.,싫음
12487,팬택을 죽였으니 이젠 엘지를 죽여볼까?,싫음
12488,품질은쓰레기에다가 맨날대모나해되니 잘될일있나,싫음
12489,정신나간 댓글러들 왜케 많냐.,싫음
12490,그렇다고 버리고 올순 없잖아요!,싫음
12491,이슬람권 난민을절대로받아서는안된다이래서,싫음
12492,그네가시켰겠짗 이제와서 저딴식으로자백??,싫음
12493,조센징은 몽둥이가 약입니다.,싫음
12494,이렇게 불안불안하니 그 땅덩어리 버리고 우리땅 따먹으려 했구만,싫음
12495,쇼하네,싫음
12496,미친 돌아이,싫음
12497,그러니까 구명쪼끼 입었다는데~~~이런 헛소리 하는겁니다 증거 나왔네요,싫음
12498,무상기증을 당연시하지마라,싫음
12499,"하루아침에 된 애들도 아니고, 몇년씩 훈련하고 다듬고 완벽한 상품으로 만들어 내보내는 애들인데, 당연...",싫음
12500,진실은 하나인데 수많은 거짓을 만드니 증언들이 일치할수가 있냐,싫음
12501,전 전라도것들 매우 싫어합니다,싫음
12502,음주운전에 나쁜 음주 덜 나쁜 음주가 있냐 ㅋㅋㅋㅋ,싫음
12503,이 기사 쓴이유가 뭘까?단통법해도 남들 몰래 싸게사는방법다들알고있자나?어휴 폰팔이새끼들,싫음
12504,"이길땐 훈훈하더니 털리니까 무슨 댓글에 다 악의적인것만 1,2,3등이냐",싫음
12505,돈에 양심판 사람들 혐오스럽다,싫음
12506,군용 골프장에는 천억이상 쓰면서 사병들에게는 고작 저정도인 국방부머리다.,싫음
12507,뭐? 부유층을 까? 좌빨이군여,싫음
12508,밝혀지면 저런뇬은 평생인새을 후회하게 해야한다,싫음
12509,새벽부터 울화가 치밀어 오른다.,싫음
12510,얼마 빼돌릴려구?,싫음
12511,나라지키는 청와대가 아니라 사기꾼 거짓말장아 범죄자 양성소였네,싫음
12512,터키의 민주주의가 죽었슴다,싫음
12513,어떻게 계속 파는데 끝이 없냐,싫음
12514,소 돼지도 동물학대냐?,싫음
12515,엄살 떨지마라 ㅡ 큰맘 머코 외식하러 갔드니 시파 자리가 없드라,싫음
12516,월급만 안올라,싫음
12517,사기꾼 맞잖아 왜 아닌척?,싫음
12518,왜 내가 폰팔이들 걱정까지 해줘야 되는거지 니네들 개인 신상정보 담긴 서류들이 여기저기 돌아댕기는거 보단 났지 않냐,싫음
12519,부도덕한데 무능까지 겹친 최악의 중의 최악 아직도 자기가 대통령인줄 착각하니...ㅉㅉ 신년부터 화병 또 도지네..,싫음
12520,쪼다 세긔들 육갑을떨어요 일하려다녀라 쪼다들아,싫음
12521,저번에도 인정사정 없이 다 깠어야 했는데...,싫음
12522,돈 졸라 잘 쳐먹고 튀게 생겼다..,싫음
12523,전형적인 일루미나티 프리메이슨기업인 애플은 없어져야 합니다,싫음
12524,사대강을 줬네 사대강을,싫음
12525,아예 돈으로 환불해주고 다시 살사람은 다시 사고 다른폰 살사람은 다른거 사게 해줘야지 고쳤다고 같은걸로 그냥 바꿔주면 터진 사람은 트라우마땜에 불안해서 쓰겄나,싫음
12526,산책시키는데 입마개를 씌우라고?,싫음
12527,쓰레기같은 여행사 기생충 ㅅㄱ들,싫음
12528,현기차 타다가 사람 죽는 것보다 회장님이 더 무섭구나...,싫음
12529,밥값못하는 상위1% 소득자인 국개들은 강제 정치 out시켜야 되는데 미국보다 많은 의원석으로 삼류정치나 하니ㅉ,싫음
12530,간첩보내서 돼지 목따면 끝장! 이 기회에 핵무장선언하라!,싫음
12531,"썩은가지는 모조리 잘라내라,썩은 사이비교사들도 모조리 잘라내라,다시는 교육계에 발못붙이게해라,",싫음
12532,종말순실은 123층 건물에 추락시켜야함,싫음
12533,중국=전세계의암덩어리같은존재!!!!,싫음
12534,똥기춘이 캭~퉤퉤,싫음
12535,살면서 현대.기아는 안사는걸로,싫음
12536,감독탓마라 우리도 보는눈이있다,싫음
12537,"핵무기만 아니였으면 미국이 진작 손 봐줬을나라..짱깨,북조선",싫음
12538,8년간 뛰어온 정똘기를 이런식으로 취급하고 차우찬한테 100억을 투자하는 구단의 행보를 보고 그어느 선수가 팀을위해 몸바쳐뛸 수 있을까?,싫음
12539,주기고 싶다. ...,싫음
12540,촛값으로 연탄사셔 불우이웃돕기나 해라.,싫음
12541,똥싸놓고 남한테 치우라고,싫음
12542,이번일과 관련된 놈들 모두 처벌해야합니다,싫음
12543,저러다가 믄일 생기면 또 나라탓할거다.,싫음
12544,미국놈들은 지들도 국경 붙어있는 나라랑 화합도 못하면서 우리한텐 일본이랑 사이좋게 지내라고 하네 ㅋㅋㅋㅋㅋㅋ,싫음
12545,아버지따라 가야지?,싫음
12546,아 정말 정신병자가 대통령을 했구나,싫음
12547,디진다 진짜 이게 말이냐 방구냐,싫음
12548,야 조대위 니그 부모가 보고있다이 년아,싫음
12549,드디어 김정은이 박근혜누나 구출하러 나섰구나...빨갱이들이라 한통속!,싫음
12550,앞으로 그네년 사진 모자이크로 쳐라...역겹고 울화통 터져 꼴보기싫타,싫음
12551,영남 할배야 한국을 떠나라,싫음
12552,국민들이 역모를 일으켰다고 생각하는 정신병자,싫음
12553,"테임즈 가봐야 김태군 없이는 아무것도 못한다,",싫음
12554,사이비 목사를 죽엿어야지,싫음
12555,저렇게 뻔뻔한게 지금까지 저자리에 앉아있는게 너무화가난다!!,싫음
12556,아니 왜 달의 연인 댓글을 왜 여기다 쓰고 ㅈI 랄이야,싫음
12557,진짜 사기 제대로 치네ㅋㅋ 이건구속안하나,싫음
12558,이나라는 정말 정신차릴려면 한참 멀었다,싫음
12559,에라 이 년 눔 들 애가 불쌍타,싫음
12560,국조특위에서 안민석 의원이 군대 의혹 제기했는데 그런 거나 대답해라,싫음
12561,국격을 바로 세우기 위해서 본국으로 소환하여 극형에 처해야 한다.,싫음
12562,노무현 사저 아방궁이라고 하던....새누리당 출신 의원들은 뭐하냐??,싫음
12563,저거 원인 밝히고 직원들 설날 선물로 뿌리자,싫음
12564,"선발 제외 예상이었는데, 잔류하기를 바라는 마음에 오늘 좋은결과 내기를 바랍니다.",싫음
12565,ㅋㅋ진짜 답없다 예산이아깝다,싫음
12566,걍 이 정권에서 한 모든 정책은 폐기 하는게 맞다.,싫음
12567,대목때 얼마나 바가지씌워서등쳐먹을라고 노량진도불타라,싫음
12568,무슨 자신감이냐? 자국민 호구로 보는 쑤렉이기업이 해외에서 성공할꺼같냐?,싫음
12569,주사나 쳐맞고 드라마 보고 있을 테니 변호사놈들이 알아서 해라... 그런의미,싫음
12570,우리도 제발 당파싸움 작작하고 제발 나라를 생각하는 정치인들 나와서 이런일에 치이지 않기를,싫음
12571,다 거짓말투성이 ㅋㅋㅋㅋ 탄핵만이 길이다,싫음
12572,연대애들 앞으로 이대 앞에서 잘난척 하지 말아라. 시위로 혁명을 이룬 이대와 모른척 할 일만 하는 연대는 비교 가치도 없다.,싫음
12573,국민들이 너한테 법적대응해줄께 기다려!,싫음
12574,박근혜는 아마도 국민세금으로 22도 맞춰놓고 열정의 세븐아워~~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,싫음
12575,니들끼리.. 거래.. 타협.. 짜고치는 고스톱 같은거 안할 그럴사람.. 그럴사람 대려와줘... 대통령 시켜줄게,싫음
12576,순실이 개18년.,싫음
12577,씨.....뺠....ㅡㅡ....미국 대통령 당선인 신경 쓰지말고 우리나라 대통령이나 신경 써라,싫음
12578,성폭행 사건하면 전라도다,싫음
12579,쪽바리 쉐키들한테 제주도땅값 댓가로 얼마 받아 쳐먹었냐?,싫음
12580,댓글다는건 얼마받는지 가격표에 없네요..,싫음
12581,듣다 듣다 이런뉴스 진짜 화나네요,싫음
12582,박근혜를 당장 구속 수사 하라,싫음
12583,기레기들이 소설쓰다가 더 이상 앞 뒤가 맞지 않는 거다,싫음
12584,진짜 이런 사람이 대통령이었다니 지금도 소름이다ㄷㄷㄷ,싫음
12585,새누리와 정부는 김영란법이 자기들 공적이라고 주장할듯...,싫음
12586,저 년 도 지저분하게 늘어지네 추하다,싫음
12587,냄비근성에 땔감을 넣어주시는 공신입니다.,싫음
12588,선플 다는 운동도 초등학교때 부터 숙제로 하는데 악플 다는 너희 초딩도 못되는 수준이네~~~ㅋㅋㅋ,싫음
12589,이미 입막음 당한듯,싫음
12590,국가를 개호구로 보는거지,싫음
12591,이렇게나 격렬하게 무능한 총장이 대한민국 사람이라는게 정말로 자랑스럽기 그지 없네요.,싫음
12592,거짓말 탐지기 써서 이대 길라임 최순실 전부다 국민이 보는데서 청문회 다시하라,싫음
12593,경찰놈들은 추산수를 왜 맨날 저딴식으로 발표하냐,싫음
12594,양상치때문에 안된다 쓰레기,싫음
12595,공짜 줏은 임창용 데려와라... 왕따시켜 은퇴시켜 버릴 것... 고연넘같으니......,싫음
12596,댓글알바도어버이연합처럼조사해야한다,싫음
